,city,title,price,library,longitude,latitude,date
62,Aarhus,Junior og First Lego League ,0,Hovedbiblioteket,10.200179,56.156617,2014-09-29
71,Aarhus,Junior og First Lego League ,0,Hovedbiblioteket,10.200179,56.156617,2014-09-30
123,SkÃ¸dstrup,Sidste omgang - SkÃ¸dstrup Kombi-bibliotek,0,SkÃ¸dstrup Kombi-bibliotek - Komforbi,10.308101,56.271071,2014-09-18
124,Aarhus,Junior og First Lego League ,0,Hovedbiblioteket,10.200179,56.156617,2014-10-01
139,Trige,Sidste omgang - Trige Kombi-bibliotek,0,Trige Kombi-bibliotek,10.147191,56.252837,2014-09-15
206,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-08-04
248,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-08-11
269,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-08-18
305,Aarhus,Sommeroperaen:  Kom bag kulisserne med Svend Ãge Madsen ,0,Hovedbiblioteket,10.200179,56.156617,2014-08-28
369,Risskov,FredagsBio,0,Risskov Bibliotek,10.223633,56.193761,2014-08-22
384,Ãby,Film for de 3-6 Ã¥rige,0,Ãby Bibliotek,10.162515,56.156438,2014-09-16
390,Aarhus,Aktive torsdage,0,Hovedbiblioteket,10.200179,56.156617,2014-08-14
397,Aarhus,Aktive torsdage,0,Hovedbiblioteket,10.200179,56.156617,2014-08-21
406,Aarhus,Aktive torsdage,0,Hovedbiblioteket,10.200179,56.156617,2014-08-28
407,Aarhus,Aktive torsdage,0,Hovedbiblioteket,10.200179,56.156617,2014-09-04
412,Aarhus,Aarhus Musikskole - kor,0,Hovedbiblioteket,10.200179,56.156617,2014-09-22
416,Solbjerg,Digital postkasse,0,Solbjerg Bibliotek,10.08479,56.042783,2014-09-22
430,Ãby,Film for de 3-6 Ã¥rige,0,Ãby Bibliotek,10.162515,56.156438,2014-09-30
448,Risskov,FredagsBio,0,Risskov Bibliotek,10.223633,56.193761,2014-08-22
451,Ãby,Digital Post pÃ¥ borger.dk,0,Ãby Bibliotek,10.162515,56.156438,2014-08-29
456,Aarhus,Familiemusik - et Ã¥bent musikalsk vÃ¦rksted for hele familien,0,Hovedbiblioteket,10.200179,56.156617,2014-09-06
467,Aarhus,Aarhus Musikskole - kor,0,Hovedbiblioteket,10.200179,56.156617,2014-09-22
479,Ãby,Annette Bredstrup  - Sybilleder og indisk kunsthÃ¥ndvÃ¦rk.,0,Ãby Bibliotek,10.162515,56.156438,2014-09-01
501,Lystrup,Sidste omgang - Lystrup Bibliotek,0,Lystrup Bibliotek,10.228713,56.234167,2014-09-19
507,Aarhus,TÃ¦nker du pÃ¥ at starte egen virksomhed?,0,Hovedbiblioteket,10.200179,56.156617,2014-08-26
516,Aarhus V,Identitet - et foredrag om hvordan du blev til dig,0,Hasle Bibliotek,10.167345,56.179458,2014-09-25
525,HÃ¸jbjerg,[sÃ¦ijmbÃ¥tâdi:frent] â?Festugeudstilling med temaet Same but different,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-08-29
529,Aarhus V,IT-workshop: Brug Word bedre,0,Hasle Bibliotek,10.167345,56.179458,2014-09-17
554,Risskov,Beatles for alle,25,Risskov Bibliotek,10.223633,56.193761,2014-09-29
580,Trige,SmÃ¥ synger sammen,0,Trige Kombi-bibliotek,10.147191,56.252837,2014-09-11
615,Aarhus V,"IT-workshop: Netbank, skat, e-boks m.m. pÃ¥ smartphone/tablet",0,Hasle Bibliotek,10.167345,56.179458,2014-09-17
618,Aarhus V,IT-workshop: Tips til din android smartphone/tablet,0,Hasle Bibliotek,10.167345,56.179458,2014-09-24
624,Aarhus V,IT-workshop: Gode apps til din smartphone/tablet,0,Hasle Bibliotek,10.167345,56.179458,2014-10-01
642,Tilst,Digital Post pÃ¥ borger.dk,0,Tilst Bibliotek,10.111042,56.18945,2014-09-02
649,Risskov,FredagsBio UDSOLGT!!,0,Risskov Bibliotek,10.223633,56.193761,2014-08-29
660,HÃ¸jbjerg,Lyst til at lÃ¦se med andre? FÃ¥ din egen lÃ¦sekreds.,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-29
693,Tilst,Lav dine egne cupcakes pÃ¥ biblioteket,0,Tilst Bibliotek,10.111042,56.18945,2014-09-20
725,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-08-07
727,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-08-14
741,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-08-21
756,Aarhus,BrÃ¦tspil,0,Hovedbiblioteket,10.200179,56.156617,2014-09-27
758,Brabrand,HÃ¸jtlÃ¦sning for de 1 1/2-6 Ã¥rige,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-17
786,Risskov,UDSAT til 18 november !! Det handler om kÃ¦rlighed v/Charlotte Fruergaard UDSAT!!,50,Risskov Bibliotek,10.223633,56.193761,2014-09-24
811,Brabrand,HÃ¸jtlÃ¦sning for de 1 1/2-6 Ã¥rige,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-24
813,Brabrand,AFLYST! HÃ¸jtlÃ¦sning for de 1 1/2-6 Ã¥rige  AFLYST!,0,Gellerup Bibliotek,10.136214,56.155665,2014-10-01
825,Aarhus,A soft and quiet start to the weekend,0,Hovedbiblioteket,10.200179,56.156617,2014-09-20
866,Brabrand,Sidste omgang - Gellerup Bibliotek,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-26
871,Aarhus V,Sidste omgang - Hasle Bibliotek,0,Hasle Bibliotek,10.167345,56.179458,2014-09-24
893,Viby J,Digital Postkasse,0,Viby Bibliotek,10.164431,56.130402,2014-09-30
910,Ãby,Torvedag i ÃbyhÃ¸j,0,Ãby Bibliotek,10.162515,56.156438,2014-08-16
920,Viby J,"BÃ¸rneteater - ""En flyvende fortÃ¦lling""",0,Viby Bibliotek,10.164431,56.130402,2014-10-01
924,Brabrand,Musik og bevÃ¦gelse med Rytmetoget for de 1Â½-4-Ã¥rige,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-24
926,Aarhus,International Playgroup,0,Hovedbiblioteket,10.200179,56.156617,2014-08-01
928,Aarhus,International Playgroup,0,Hovedbiblioteket,10.200179,56.156617,2014-08-15
930,Trige,Babymassage ved Lillian Dalgaard ,25,Trige Kombi-bibliotek,10.147191,56.252837,2014-09-13
932,Ãby,Digital Post pÃ¥ borger.dk,0,Ãby Bibliotek,10.162515,56.156438,2014-09-22
933,Aarhus,Coding Pirates â?Game.Play.Design fremvisning,0,Hovedbiblioteket,10.200179,56.156617,2014-08-29
935,Tilst,Digital Post pÃ¥ borger.dk,0,Tilst Bibliotek,10.111042,56.18945,2014-09-16
936,Aarhus,Den store krig - og den lille mand,0,Hovedbiblioteket,10.200179,56.156617,2014-08-27
937,Aarhus,Akamas - film fra Cypern,0,Hovedbiblioteket,10.200179,56.156617,2014-08-19
938,Viby J,Bustur til Store Bogdag ved Hald Hovedgaard lÃ¸rdag 9. august,110,Viby Bibliotek,10.164431,56.130402,2014-08-09
939,Aarhus V,Forfatterspirer - SAXOs forfatterklub,0,Hasle Bibliotek,10.167345,56.179458,2014-08-04
942,Risskov,FredagsBio Denne forevisning er AFLYST!,0,Risskov Bibliotek,10.223633,56.193761,2014-09-05
943,Hasselager,Digital Postkasse,0,Kolt-Hasselager Kombi-bibliotek ,10.075267,56.10928,2014-09-08
961,Aarhus,Junior og First Lego League ,0,Hovedbiblioteket,10.200179,56.156617,2014-09-24
962,Aarhus,Junior og First Lego League ,0,Hovedbiblioteket,10.200179,56.156617,2014-09-25
963,Risskov,FredagsBio UDSOLGT!!,0,Risskov Bibliotek,10.223633,56.193761,2014-09-12
965,Aarhus,Junior og First Lego League ,0,Hovedbiblioteket,10.200179,56.156617,2014-09-26
974,Risskov,Sidste omgang - Risskov Bibliotek,0,Risskov Bibliotek,10.223633,56.193761,2014-09-25
977,Aarhus,"Mandagsdokumentaren viser ""Mettes stemme""",0,Hovedbiblioteket,10.200179,56.156617,2014-09-01
980,Aarhus,TÃ¦nkepauser: Loven,0,Hovedbiblioteket,10.200179,56.156617,2014-09-04
982,Tilst,Digital Post pÃ¥ borger.dk,0,Tilst Bibliotek,10.111042,56.18945,2014-09-30
990,Aarhus,ByggelÃ¸rdag,0,Hovedbiblioteket,10.200179,56.156617,2014-08-09
991,Aarhus,Aarhus Musikskole - kor - BÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-09-30
992,Aarhus,International Playgroup,0,Hovedbiblioteket,10.200179,56.156617,2014-08-29
994,Tilst,Sidste omgang - Tilst Bibliotek,0,Tilst Bibliotek,10.111042,56.18945,2014-09-16
996,Aarhus,Aktive torsdage,0,Hovedbiblioteket,10.200179,56.156617,2014-08-07
997,Hasselager,Digital Postkasse,0,Kolt-Hasselager Kombi-bibliotek ,10.075267,56.10928,2014-09-22
999,Tranbjerg,Sidste omgang - Tranbjerg Bibliotek,0,Tranbjerg Bibliotek,10.135585,56.091095,2014-09-22
1002,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-09-29
1007,HÃ¸jbjerg,Ind i en bog - og et forfatterskab:  Kantslag af Dorthe Nors,50,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-24
1011,Ãby,Sidste omgang - Ãby Bibliotek,0,Ãby Bibliotek,10.162515,56.156438,2014-09-17
1013,Viby J,Sidste omgang - Viby Bibliotek,0,Viby Bibliotek,10.164431,56.130402,2014-09-23
1018,Aarhus,Film for de 3-6 Ã¥rige,0,Hovedbiblioteket,10.200179,56.156617,2014-09-10
1019,Aarhus,Film for de 3-6 Ã¥rige,0,Hovedbiblioteket,10.200179,56.156617,2014-10-01
1025,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-09-11
1028,Risskov,FredagsBio UDSOLGT!!,0,Risskov Bibliotek,10.223633,56.193761,2014-08-29
1037,Aarhus,International Playgroup,0,Hovedbiblioteket,10.200179,56.156617,2014-09-12
1061,Aarhus,Babyrytmik ved Aarhus Musikskole,50,Hovedbiblioteket,10.200179,56.156617,2014-08-28
1063,Aarhus,International Playgroup,0,Hovedbiblioteket,10.200179,56.156617,2014-09-26
1074,Brabrand,Digital Post & Borger.dk,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-01
1079,Brabrand,Digital Post & Borger.dk,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-15
1090,Brabrand,Introduktion til Dropbox,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-03
1095,Harlev,"Fuglelivet, som det kan opleves omkring Harlev",0,Harlev Bibliotek,9.99869,56.145596,2014-09-18
1102,HÃ¸jbjerg,Digital Postkasse,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-23
1107,Hasselager,LÃ¦sekreds,0,Kolt-Hasselager Kombi-bibliotek ,10.075267,56.10928,2014-08-27
1108,Ãby,Da Victor rejste til den 7.himmel for at finde bedste,0,Ãby Bibliotek,10.162515,56.156438,2014-08-23
1112,Aarhus,Morgensang,0,Hovedbiblioteket,10.200179,56.156617,2014-09-13
1113,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-09-04
1117,HÃ¸jbjerg,Digital Postkasse,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-30
1118,Aarhus,Morgensang,0,Hovedbiblioteket,10.200179,56.156617,2014-09-20
1122,Tranbjerg,Et liv i lÃ¸b med Gitte KarlshÃ¸j,25,Tranbjerg Bibliotek,10.135585,56.091095,2014-09-11
1123,Aarhus,Biblioteket er dit!,0,Hovedbiblioteket,10.200179,56.156617,2014-09-27
1124,HÃ¸jbjerg,Digital Postkasse,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-02
1125,HÃ¸jbjerg,Digital Postkasse,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-09
1126,HÃ¸jbjerg,Digital Postkasse,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-16
1131,HÃ¸jbjerg,Digital CafÃ©,0,HÃ¸jbjerg Bibliotek,10.207429,56.11427,2014-09-08
1139,Risskov,"""Da Beatles kom til Brovst""",25,Risskov Bibliotek,10.223633,56.193761,2014-10-01
1141,Ãby,Helle Helle pÃ¥ storskÃ¦rm,0,Ãby Bibliotek,10.162515,56.156438,2014-09-04
1143,Viby J,Digital Postkasse,0,Viby Bibliotek,10.164431,56.130402,2014-09-02
1146,Aarhus,"Mandagsdokumentaren viser ""Jeg hader ADHD - bÃ¸rn i en diagnosetid""",0,Hovedbiblioteket,10.200179,56.156617,2014-09-08
1149,Viby J,Digital Postkasse,0,Viby Bibliotek,10.164431,56.130402,2014-09-23
1151,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-09-15
1152,Viby J,Digital Postkasse,0,Viby Bibliotek,10.164431,56.130402,2014-09-09
1153,Viby J,Digital Postkasse,0,Viby Bibliotek,10.164431,56.130402,2014-09-16
1154,Aarhus,"Mandagsdokumentaren viser ""Free the mind""",0,Hovedbiblioteket,10.200179,56.156617,2014-09-15
1155,Aarhus,"Mandagsdokumentaren viser ""Ylva og dragen""",0,Hovedbiblioteket,10.200179,56.156617,2014-09-22
1156,Aarhus,"Mandagsdokumentaren viser ""Min fars sind""",0,Hovedbiblioteket,10.200179,56.156617,2014-09-29
1159,Aarhus,Music Talks: Leonard Cohen,0,Hovedbiblioteket,10.200179,56.156617,2014-09-18
1162,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-09-08
1165,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-09-22
1166,EgÃ¥,"""Ãrstider pÃ¥ spring""",0,EgÃ¥ Kombi-bibliotek,10.283211,56.211717,2014-09-08
1168,Aarhus,ByggelÃ¸rdag,0,Hovedbiblioteket,10.200179,56.156617,2014-09-13
1171,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-09-25
1178,Aarhus,Klassisk lytteklub,0,Hovedbiblioteket,10.200179,56.156617,2014-09-10
1183,Risskov,FredagsBio,0,Risskov Bibliotek,10.223633,56.193761,2014-09-12
1186,Aarhus,Elsebeth Egholm,0,Hovedbiblioteket,10.200179,56.156617,2014-09-11
1188,Beder,Se lokalhistoriskfilm fra egnen omkring Beder og Malling,0,Beder-Malling Bibliotek,10.216045,56.060321,2014-09-30
1191,Aarhus,NemID og Digital Post,0,Hovedbiblioteket,10.200179,56.156617,2014-09-15
1192,Aarhus,NemID og Digital Post,0,Hovedbiblioteket,10.200179,56.156617,2014-09-29
1195,Aarhus,Skriv din egen livshistorie,0,Hovedbiblioteket,10.200179,56.156617,2014-09-11
1203,Aarhus,Library Introduction at the Main Library,0,Hovedbiblioteket,10.200179,56.156617,2014-09-16
1209,Ãby,UDSOLGT!!! Helle Helle besÃ¸ger LitteraturStedet i forbindelse med Vild med ORD,0,Ãby Bibliotek,10.162515,56.156438,2014-08-28
1212,Aarhus,Hvordan har din Facebook-dag vÃ¦ret? FOREDRAGET ER DESVÃRRE AFLYST,50,Hovedbiblioteket,10.200179,56.156617,2014-09-30
1218,Risskov,FredagsBio,0,Risskov Bibliotek,10.223633,56.193761,2014-09-05
1225,Risskov,Sundhedsplejen byder velkommen til Ãbent Hus-arrangement pÃ¥ Risskov Bibliotek,0,Risskov Bibliotek,10.223633,56.193761,2014-08-05
1226,Risskov,Sundhedsplejen byder velkommen til Ãbent Hus-arrangement pÃ¥ Risskov Bibliotek,0,Risskov Bibliotek,10.223633,56.193761,2014-08-19
1227,Risskov,Sundhedsplejen byder velkommen til Ãbent Hus-arrangement pÃ¥ Risskov Bibliotek,0,Risskov Bibliotek,10.223633,56.193761,2014-09-02
1248,Viby J,Artmoney â?penge med dobbeltvÃ¦rdi ,0,Viby Bibliotek,10.164431,56.130402,2014-08-01
1250,Aarhus,En blid start pÃ¥ weekenden,0,Hovedbiblioteket,10.200179,56.156617,2014-08-16
1252,Aarhus,Er du vild med at skrive fantasy?,0,Hovedbiblioteket,10.200179,56.156617,2014-08-26
1253,Aarhus,StÃ¥ ved dig selv som sÃ¦rligt sensitiv v/coach Susanne MÃ¸berg,140,Hovedbiblioteket,10.200179,56.156617,2014-09-17
1254,Aarhus,Den sammenbragte familie - hvordan fÃ¥r vi den til at fungere?,130,Hovedbiblioteket,10.200179,56.156617,2014-09-22
1255,Aarhus,Thomas Ubbesen: Bag kulisserne i katastrofedÃ¦kningen,150,Hovedbiblioteket,10.200179,56.156617,2014-09-25
1256,Aarhus,FÃ¥ styr pÃ¥ musen og prÃ¸v internettet,0,Hovedbiblioteket,10.200179,56.156617,2014-09-01
1257,Tilst,Morgenmad og borgermÃ¸de pÃ¥ Tilst Bibliotek,0,Tilst Bibliotek,10.111042,56.18945,2014-09-09
1258,Aarhus,E-mail for begyndere,0,Hovedbiblioteket,10.200179,56.156617,2014-09-08
1259,Aarhus,SÃ¦rligt sensitive mennesker op arbejdspladsen V/coach Susanne MÃ¸berg,140,Hovedbiblioteket,10.200179,56.156617,2014-10-01
1260,Sabro,StrikkecafÃ©,20,Sabro Bibliotek,10.023125,56.211735,2014-09-25
1265,Ãby,Ãby-fortÃ¦llinger,0,Ãby Bibliotek,10.162515,56.156438,2014-09-29
1267,Ãby,HÃ¸jtlÃ¦sning pÃ¥ engelsk og dansk for bÃ¸rn,0,Ãby Bibliotek,10.162515,56.156438,2014-10-01
1268,Ãby,HÃ¸jtlÃ¦sning pÃ¥ engelsk og dansk for bÃ¸rn ,0,Ãby Bibliotek,10.162515,56.156438,2014-09-03
1272,Aarhus,Workshop: Retrodesign,0,Hovedbiblioteket,10.200179,56.156617,2014-09-10
1273,Aarhus,Den Orange Loge ,0,Hovedbiblioteket,10.200179,56.156617,2014-10-01
1276,Risskov,BÃR! sylt pÃ¥ biblioteket,0,Risskov Bibliotek,10.223633,56.193761,2014-08-14
1279,Tranbjerg,Kulturcirklen i Tranbjerg skal fornys!,0,Tranbjerg Bibliotek,10.135585,56.091095,2014-09-08
1286,Ãby,Krisens navn,0,Ãby Bibliotek,10.162515,56.156438,2014-09-23
1289,Aarhus,A soft and quiet start to the weekend,0,Hovedbiblioteket,10.200179,56.156617,2014-08-16
1294,Aarhus,Startup meeting for entrepreneurs by STARTVÃKST Aarhus,0,Hovedbiblioteket,10.200179,56.156617,2014-09-16
1297,Aarhus,Hack en bog - ta' familien med,0,Hovedbiblioteket,10.200179,56.156617,2014-08-23
1307,Aarhus,Foredrag med Thomas Rex Frederiksen og Robert Rolfsted,0,Hovedbiblioteket,10.200179,56.156617,2014-08-25
1311,Lystrup,Tirsdagsbio for de 3-6 Ã¥rige,0,Lystrup Bibliotek,10.228713,56.234167,2014-09-02
1315,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-08-21
1317,Lystrup,Tirsdagsbio for de 3-6 Ã¥rige,0,Lystrup Bibliotek,10.228713,56.234167,2014-09-09
1318,Lystrup,Tirsdagsbio for de 3-6 Ã¥rige,0,Lystrup Bibliotek,10.228713,56.234167,2014-09-30
1324,Lystrup,Fantasistafet-udstilling,0,Lystrup Bibliotek,10.228713,56.234167,2014-09-26
1325,Lystrup,Fernisering pÃ¥ Fantasistafet-udstilling,0,Lystrup Bibliotek,10.228713,56.234167,2014-09-26
1329,Risskov,HÃSTFEST!,0,Risskov Bibliotek,10.223633,56.193761,2014-08-28
1331,Aarhus,NemID og Digital Post,0,Hovedbiblioteket,10.200179,56.156617,2014-09-22
1338,Aarhus V,IT-workshop: Feriebillederne? Brug Windows til at holde styr pÃ¥ dem,0,Hasle Bibliotek,10.167345,56.179458,2014-09-03
1341,Aarhus V,IT-workshop: Feriebillederne? Intro til billedredigering,0,Hasle Bibliotek,10.167345,56.179458,2014-09-10
1350,Aarhus,Skriv dig ud af skuffen,0,Hovedbiblioteket,10.200179,56.156617,2014-09-17
1356,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-08-25
1358,Aarhus,Babyrytmik ved Aarhus Musikskole,50,Hovedbiblioteket,10.200179,56.156617,2014-09-25
1362,Aarhus,Mandagsfilm i bÃ¸rnebiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-09-01
1377,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-08-28
1378,Aarhus V,Har du talt med din nabo idag?,0,Hasle Bibliotek,10.167345,56.179458,2014-09-11
1379,Risskov,"Risskov Bibliotek er pÃ¥ Foodfestival 5., 6. og 7. september med campingvogn",0,Risskov Bibliotek,10.223633,56.193761,2014-09-05
1380,Risskov,"Risskov Bibliotek er pÃ¥ Foodfestival 5., 6. og 7. september med campingvogn",0,Risskov Bibliotek,10.223633,56.193761,2014-09-06
1381,Risskov,"Risskov Bibliotek er pÃ¥ Foodfestival 5., 6. og 7. september med campingvogn",0,Risskov Bibliotek,10.223633,56.193761,2014-09-07
1386,Aarhus,Aktiv torsdag,0,Hovedbiblioteket,10.200179,56.156617,2014-09-18
1391,Aarhus,En blid start pÃ¥ weekenden,0,Hovedbiblioteket,10.200179,56.156617,2014-09-20
1393,Brabrand,Digital Post,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-18
1399,Brabrand,Digital Post,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-25
1403,Brabrand,Digital Post,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-04
1404,Brabrand,Digital Post,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-11
1409,Brabrand,Digital Post & Borger.dk,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-08
1410,Brabrand,Digital Post & Borger.dk,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-22
1411,Brabrand,Digital Post & Borger.dk,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-29
1424,Brabrand,Sociale Medier,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-17
1426,Brabrand,Bliv klogere pÃ¥ din tablet,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-24
1428,Brabrand,Sexturisme - Hvad er Ã¦gte KÃ¦rlighed?,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-25
1429,Harlev,Cupcake workshop,0,Harlev Bibliotek,9.99869,56.145596,2014-09-27
1430,Harlev,Digital post,0,Harlev Bibliotek,9.99869,56.145596,2014-09-22
1438,Harlev,Strikkeaften,0,Harlev Bibliotek,9.99869,56.145596,2014-09-01
1443,Aarhus,Frit Spil pÃ¥ Hovedbiblioteket,0,Hovedbiblioteket,10.200179,56.156617,2014-08-30
1444,Ãby,Authors in Aarhus : Stefan Hertmans,50,Ãby Bibliotek,10.162515,56.156438,2014-09-08
1449,Aarhus,Workshop: Tegn i Sketchup,0,Hovedbiblioteket,10.200179,56.156617,2014-08-26
1453,Aarhus,Workshop: >Tegn i SketchUp,0,Hovedbiblioteket,10.200179,56.156617,2014-08-26
1454,Aarhus V,Mini Bio,0,Hasle Bibliotek,10.167345,56.179458,2014-09-18
1467,Risskov,Sundhedsplejen byder velkommen til Ãbent Hus-arrangement pÃ¥ Risskov Bibliotek,0,Risskov Bibliotek,10.223633,56.193761,2014-09-30
1469,Brabrand,HÃ¸jtlÃ¦sning for de 1 1/2-6 Ã¥rige,0,Gellerup Bibliotek,10.136214,56.155665,2014-09-10
1475,Risskov,"HÃ¸jtlÃ¦sning, hygge og gode historier â?for de 2-Ã¥rige",0,Risskov Bibliotek,10.223633,56.193761,2014-09-19
1476,Risskov,"HÃ¸jtlÃ¦sning, hygge og gode historier â?for de 3-Ã¥rige",0,Risskov Bibliotek,10.223633,56.193761,2014-09-26
1481,Risskov,PjaltehÃ¦tte - en musikalsk familieforestilling,0,Risskov Bibliotek,10.223633,56.193761,2014-09-20
1482,Risskov,[Kom pÃ¥ Bi! blioteket og bliv klog pÃ¥ bier!],0,Risskov Bibliotek,10.223633,56.193761,2014-09-17
1484,Risskov,Kom og mÃ¸d Pernille HÃ¸jmark,50,Risskov Bibliotek,10.223633,56.193761,2014-09-09
1485,Ãby, BÃ¸rns lÃ¦seudvikling og problemer med lÃ¦sning og skrivning ,0,Ãby Bibliotek,10.162515,56.156438,2014-09-22
1486,Aarhus,Arduino,0,Hovedbiblioteket,10.200179,56.156617,2014-09-11
1487,Aarhus,Arduino,0,Hovedbiblioteket,10.200179,56.156617,2014-09-18
1488,Aarhus,Arduino,0,Hovedbiblioteket,10.200179,56.156617,2014-09-25
1492,Aarhus,Elephant Parade,0,Hovedbiblioteket,10.200179,56.156617,2014-09-13
1494,Trige,Babyrytmik med BabycafÃ©en,25,Trige Kombi-bibliotek,10.147191,56.252837,2014-09-23
1496,Viby J,Digital CafÃ©,0,Viby Bibliotek,10.164431,56.130402,2014-09-25
1501,Viby J,God net- og mobilstil,0,Viby Bibliotek,10.164431,56.130402,2014-09-24
